Provinsi,URL Produk,Nama Produk,Lokasi Toko,Harga (IDR),Unit Terjual,Volume Penjualan (IDR),Rating,Tahun
Aceh,https://www.tokopedia.com/makanan-kas-daerah/ikan-asin-belah-aceh-dari-hasil-tangkapan-nelayan-di-laut-dengan-kualitas-terbaik-food-1731318666124035844?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,IKAN ASIN BELAH ACEH DARI HASIL TANGKAPAN NELAYAN DI LAUT DENGAN KUALITAS TERBAIK Food,IKAN ASIN BELAH ACEH DARI HASIL TANGKAPAN NELAYAN DI LAUT DENGAN KUALITAS TERBAIK Food,46000,0,0,0.0,2024
Aceh,https://www.tokopedia.com/kagura-koffie/ikan-teri-jumbo-aceh-kareng-aceh-makanan-1729573767687799908?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,Ikan Teri Jumbo Aceh Kareng Aceh Makanan,Ikan Teri Jumbo Aceh Kareng Aceh Makanan,39000,2,78000,0.0,2024
Aceh,https://www.tokopedia.com/ceklimstore/ikan-asin-baraccuda-segar-aceh?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,Ikan Asin Baraccuda Segar Aceh,Ikan Asin Baraccuda Segar Aceh,247000,0,0,0.0,2024
Aceh,https://www.tokopedia.com/ceklimstore/ikan-asin-barracuda-segar-aceh-500gr?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,Ikan Asin Barracuda Segar Aceh 500gr,Ikan Asin Barracuda Segar Aceh 500gr,130000,2,260000,5.0,2024
Aceh,https://www.tokopedia.com/ceklimstore/ikan-kayu-aceh-keumamah-khas-aceh-250-gram-ikan-segar?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,ikan kayu Aceh /keumamah khas Aceh 250 gram / ikan segar,ikan kayu Aceh /keumamah khas Aceh 250 gram / ikan segar,55000,6,330000,5.0,2024
Aceh,https://www.tokopedia.com/22seafood/ikan-kerapu-kerapu-fillet-500-gr-ikan-laut-seafood-22?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,Ikan Kerapu / Kerapu Fillet 500 gr / Ikan Laut / Seafood 22,0,89500,0,0,4.9,2024
Aceh,https://www.tokopedia.com/boyur/cumi-besar-segar-1-kg-isi-2-4-ekor-di-bersih-kan?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,"cumi besar segar,1 kg isi 2-4 ekor (di Bersih kan)",0,58000,0,0,4.9,2024
Aceh,https://www.tokopedia.com/22seafood/ikan-kakap-putih-fillet-500-gr-barramundi-fillet-seafood-22?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,Ikan Kakap Putih Fillet 500 gr / Barramundi Fillet / Seafood 22,0,59000,0,0,5.0,2024
Aceh,https://www.tokopedia.com/22seafood/parrot-fish-1-kg-ikan-kakak-tua-bersih-tanpa-sisik-jeroan-seafood-22-halal-haccp-1731585810400708500?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,Parrot Fish 1 kg / Ikan Kakak Tua Bersih Tanpa Sisik Jeroan / Seafood 22 /HALAL /HACCP,0,55000,0,0,4.9,2024
Aceh,https://www.tokopedia.com/22seafood/kepala-ikan-manyung-1-kg-marine-catfish-ikan-laut-seafood-22-frozen-1731585799879231380?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+aceh%26search_id%3D20260607152702577BCC914F9E551B9KVO%26src%3Dsearch,Kepala Ikan Manyung 1 kg / Marine Catfish / Ikan Laut / Seafood 22 Frozen,0,26500,0,0,4.9,2024
